CAMIS,DBA,BORO,CUISINECODE,SCORE,CURRENTGRADE
41568107,TAPPO,1,48,11,A
41568251,ST. VIDAS BAR,3,03,12,A
41503468,NEW HANE SUSHI,1,49,10,A
41503983,BLUE FLAME CAFE,3,17,7,A
41493402,FUN LOUNGE,4,20,7,A
41493671,ALITALIA - COMPAGNIA AEREA ITALIANA,4,48,6,A
41513756,GREAT WALL RESTAURANT,2,20,11,A
41513758,LITTLE CAESARS,3,62,2,A
41515855,STATION B/ IDLE HANDS,1,03,12,A
41521264,WAH LUNG RESTAURANT,3,20,9,A
41521287,WEST NEW MALAYSIA RESTAURANT,1,05,7,A
41521630,AMERICAN RETRO BAR & GRILL,1,03,11,A
41504363,KORZO HAUS,1,30,12,A
41504405,ECUAPOLLOS BA RESTAURANT,3,53,13,A
41568316,HAHM JI BACH,4,52,27,Z
41514376,WICHCRAFT,1,69,10,A
41514447,EL PAISANO PIZZERIA,2,62,12,A
41514541,ATLANTIC GRILL WEST,1,03,4,A
41494100,CAFE LAFAYETTE,1,27,12,A
41494135,LE PAIN QUOTDIEN,1,69,12,A
41521764,SAIGON RESTAURANT,4,05,9,A
41517703,MARK JOSEPH CAKES,1,03,5,A
41504498,TASTE DELI AND GRILL,4,27,11,A
41565973,NAYELIN RESTAURANT,1,53,12,A
41566067,SUBWAY,2,70,13,A
41514706,JIE JIE SHENG CORP (Fried Dumpling Jie Jie Sheng),4,20,10,A
41521810,VIVE LA CREPE!,1,35,11,A
41521827,SHANGHAI CAFE DELUXE,1,20,11,A
41522057,LOS CHILPOTLES,4,55,24,B
41522082,LINCOLN RISTORANTE,1,48,9,A
41522258,"SUBWAY, PIZZA & BURGER UR WAY",3,03,13,A
41522788,CHECKERS,3,03,12,A
41568374,WINDSOR CAFE,3,03,11,A
41568417,ROMANOS FAMOUS PIZZA,4,62,6,A
41494322,SEERSUCKER RESTAURANT,3,03,13,A
41494383,LEMON LIFE,1,49,10,A
41494671,AUNTIE ANNE'S,1,07,5,A
41504651,CHEN WON DIM SUM & BAKERY,3,20,34,C
41504734,WAH MING HOUSE CHINESE RESTAURAN,3,20,10,A
41566077,Q-CITY PIZZA,4,62,5,A
41566334,THE ANCHORED INN,3,03,11,A
41522883,NEW CHINA FRESH RESTAURANT,4,20,12,A
41504915,THE FIFTH ESTATE,3,03,12,A
41504953,O'Casey's,1,47,19,B
41505017,MORGAN STANLEY CONFERENCE CENTER,1,03,9,A
41505035,BAGUETTEABOUDIT,3,07,2,A
41505315,AZUL TEQUILA RESTAURANT,3,55,21,Z
