Team,Top;1,Top;2,Top;3,Top;4,Top;5,TOTAL,,
Coppell;BM,111.9552,,,,,111.9552,,;;;;
CK;McClatchy;KS,111.36,,,,,111.36,,;;;
Juan;Diego;HM,109.6704,,,,,109.6704,,;;;
Kent;Denver;PM,109.6704,,,,,109.6704,,;;;
Rowland;Hall;St;Marks;BG,109.6704,,,,,109.6704,,;
Brophy;HS,106.35744,,,,,106.35744,,;;;;
Bishop;Guertin;CZ,105.6528,,,,,105.6528,,;;;
Centennial;(MD);PP,105.6528,,,,,105.6528,,;;;
Harker;MK,105.6528,,,,,105.6528,,;;;;
Reagan;PW,104.5856,,,,,104.5856,,;;;;
Marriotts;Ridge;WZ,55.46772,48.18408,,,,103.6518,,;;;
St;Francis;GA,102.6256,,,,,102.6256,,;;;
Westwood;ML,102.6256,,,,,102.6256,,;;;;
Centennial;(MD);BW,102.4512,,,,,102.4512,,;;;
Lexington;AD,102.4512,,,,,102.4512,,;;;;
Lexington;LS,102.4512,,,,,102.4512,,;;;;
Bingham;MS,100.5312,,,,,100.5312,,;;;;
Coronado;CM,100.5312,,,,,100.5312,,;;;;
CPS;AA,100.5312,,,,,100.5312,,;;;;
George;Washington;CD,100.5312,,,,,100.5312,,;;;
Bishop;Guertin;SZ,99.456,,,,,99.456,,;;;
Caddo;Magnet;AJ,99.456,,,,,99.456,,;;;
Greenhill;CJ,99.456,,,,,99.456,,;;;;
Houston;Memorial;CW,99.456,,,,,99.456,,;;;
Wayzata;DJ,95.9616,,,,,95.9616,,;;;;
Barstow;DN,93.9136,,,,,93.9136,,;;;;
Blake;SW,93.9136,,,,,93.9136,,;;;;
Centennial;(MD);RS,93.9136,,,,,93.9136,,;;;
Edgemont;JN,93.9136,,,,,93.9136,,;;;;
Edina;PL,93.9136,,,,,93.9136,,;;;;
GBN;MN,93.9136,,,,,93.9136,,;;;;
New;Trier;BG,93.9136,,,,,93.9136,,;;;
New;Trier;DM,93.9136,,,,,93.9136,,;;;
Sioux;Falls;Roosevelt;MK,93.9136,,,,,93.9136,,;;
Stuyvesant;DD,93.9136,,,,,93.9136,,;;;;
GBS;WR,90.39184,,,,,90.39184,,;;;;
Lane;Tech;AW,90.39184,,,,,90.39184,,;;;
Niles;West;CT,90.39184,,,,,90.39184,,;;;
Hendrickson;HT,89.6448,,,,,89.6448,,;;;;
Hendrickson;WG,89.6448,,,,,89.6448,,;;;;
Centennial;(MD);KK,88.16472,,,,,88.16472,,;;;
Shawnee;Mission;East;KW,82.56696,,,,,82.56696,,;;
Bellarmine;MF,82.1744,,,,,82.1744,,;;;;
Coppell;DE,82.1744,,,,,82.1744,,;;;;
Heritage;Hall;CC,82.1744,,,,,82.1744,,;;;
Kinkaid;YB,82.1744,,,,,82.1744,,;;;;
Midway;CS,82.1744,,,,,82.1744,,;;;;
Nevada;Union;BH,81.16752,,,,,81.16752,,;;;
GBN;HN,80.36784,,,,,80.36784,,;;;;
Chattahoochee;AL,79.55976,,,,,79.55976,,;;;;
GBN;HS,77.7722,,,,,77.7722,,;;;;
Minneapolis;South;BO,76.8384,,,,,76.8384,,;;;
Westside;KP,76.8384,,,,,76.8384,,;;;;
Lexington;AM,75.56976,,,,,75.56976,,;;;;
Shawnee;Mission;South;MO,75.55776,,,,,75.55776,,;;
Chattahoochee;IW,72.92978,,,,,72.92978,,;;;;
Hawken;EW,72.92978,,,,,72.92978,,;;;;
Johns;Creek;DA,72.92978,,,,,72.92978,,;;;
St;Ignatius;PL,72.92978,,,,,72.92978,,;;;
Westminster;FS,72.92978,,,,,72.92978,,;;;;
Saint;George;AR,71.9712,,,,,71.9712,,;;;
Edina;LR,70.4352,,,,,70.4352,,;;;;
Edina;PS,70.4352,,,,,70.4352,,;;;;
Niles;West;AA,70.4352,,,,,70.4352,,;;;
Saint;Paul;Central;BF,70.4352,,,,,70.4352,,;;
UC;Lab;NY,70.4352,,,,,70.4352,,;;;
Damien;SL,69.57216,,,,,69.57216,,;;;;
CPS;AY,67.2336,,,,,67.2336,,;;;;
