Tm,BatAge,R/G(scored),Yr
ANA,29.1,4.54,2003
ARI,30.5,4.43,2003
ATL,30.3,5.60,2003
BAL,29.3,4.56,2003
BOS,29.8,5.93,2003
CHC,31.3,4.47,2003
CHW,29.3,4.88,2003
CIN,27.3,4.28,2003
CLE,27.0,4.31,2003
COL,29.3,5.27,2003
DET,27.3,3.65,2003
FLA,27.7,4.64,2003
HOU,31.1,4.97,2003
KCR,29.0,5.16,2003
LAD,29.9,3.54,2003
MIL,29.7,4.41,2003
MIN,27.3,4.94,2003
MON,27.7,4.39,2003
NYM,29.3,3.99,2003
NYY,30.5,5.38,2003
OAK,28.3,4.74,2003
PHI,28.3,4.88,2003
PIT,29.7,4.65,2003
SDP,28.5,4.19,2003
SEA,31.8,4.91,2003
SFG,32.1,4.69,2003
STL,29.9,5.41,2003
TBD,26.3,4.41,2003
TEX,28.4,5.10,2003
TOR,28.4,5.52,2003
ANA,28.5,5.25,2002
ARI,31.7,5.06,2002
ATL,30.6,4.40,2002
BAL,29.2,4.12,2002
BOS,29.9,5.30,2002
CHC,30.1,4.36,2002
CHW,28.7,5.28,2002
CIN,27.8,4.38,2002
CLE,30.2,4.56,2002
COL,28.6,4.80,2002
DET,28.1,3.57,2002
FLA,28.4,4.31,2002
HOU,30.1,4.62,2002
KCR,29.2,4.55,2002
LAD,30.0,4.40,2002
MIL,29.9,3.87,2002
MIN,26.8,4.77,2002
MON,28.2,4.54,2002
NYM,30.6,4.29,2002
NYY,30.0,5.57,2002
OAK,28.6,4.94,2002
PHI,27.5,4.41,2002
PIT,27.9,3.98,2002
SDP,29.1,4.09,2002
SEA,31.2,5.02,2002
SFG,32.0,4.83,2002
STL,29.0,4.86,2002
TBD,27.0,4.18,2002
TEX,29.0,5.20,2002
TOR,27.2,5.02,2002
ANA,28.1,4.27,2001
ARI,31.9,5.05,2001
ATL,30.4,4.50,2001
BAL,30.0,4.24,2001
BOS,30.0,4.80,2001
CHC,30.7,4.80,2001
CHW,28.4,4.93,2001
CIN,28.0,4.54,2001
CLE,31.0,5.54,2001
COL,28.2,5.70,2001
DET,28.2,4.47,2001
FLA,27.3,4.58,2001
HOU,30.3,5.23,2001
KCR,28.2,4.50,2001
LAD,30.2,4.68,2001
MIL,29.4,4.57,2001
MIN,26.3,4.76,2001
MON,27.6,4.14,2001
NYM,30.4,3.96,2001
NYY,31.1,4.99,2001
OAK,27.4,5.46,2001
PHI,26.9,4.60,2001
PIT,27.7,4.06,2001
SDP,28.9,4.87,2001
SEA,31.3,5.72,2001
SFG,31.4,4.93,2001
STL,28.8,5.02,2001
TBD,27.9,4.15,2001
